ITEM,ITEM,climat
solv,solv,0.007194244604316547
vote,vote,0.014388489208633094
rais,rais,0.007194244604316547
tax,tax,0.007194244604316547
map,map,0.007194244604316547
timelin,timelin,0.007194244604316547
provid,provid,0.007194244604316547
answer,answer,0.014388489208633094
immin,immin,0.007194244604316547
danger,danger,0.007194244604316547
impress,impress,0.007194244604316547
chanc,chanc,0.007194244604316547
carbon,carbon,0.007194244604316547
wise,wise,0.007194244604316547
take,take,0.007194244604316547
confus,confus,0.014388489208633094
concern,concern,0.007194244604316547
economi,economi,0.02158273381294964
sudden,sudden,0.007194244604316547
biggest,biggest,0.014388489208633094
hand,hand,0.02877697841726619
perhap,perhap,0.007194244604316547
ask,ask,0.014388489208633094
correct,correct,0.007194244604316547
individu,individu,0.007194244604316547
denier,denier,0.014388489208633094
differ,differ,0.014388489208633094
typic,typic,0.007194244604316547
most,most,0.007194244604316547
bullshit,bullshit,0.007194244604316547
dont,dont,0.007194244604316547
contradictori,contradictori,0.007194244604316547
statist,statist,0.007194244604316547
estim,estim,0.007194244604316547
speed,speed,0.007194244604316547
output,output,0.007194244604316547
messag,messag,0.007194244604316547
slight,slight,0.007194244604316547
curious,curious,0.007194244604316547
lowest,lowest,0.007194244604316547
set,set,0.007194244604316547
dramat,dramat,0.007194244604316547
generat,generat,0.007194244604316547
power,power,0.007194244604316547
contribut,contribut,0.007194244604316547
cours,cours,0.007194244604316547
worldwid,worldwid,0.007194244604316547
mechan,mechan,0.02158273381294964
diplomaci,diplomaci,0.007194244604316547
inca,inca,0.007194244604316547
video,video,0.007194244604316547
preview,preview,0.007194244604316547
show,show,0.014388489208633094
coastal,coastal,0.007194244604316547
titl,titl,0.007194244604316547
becom,becom,0.007194244604316547
submerg,submerg,0.014388489208633094
1,1,0.02158273381294964
establish,establish,0.014388489208633094
theori,theori,0.014388489208633094
late,late,0.007194244604316547
hungari,hungari,0.007194244604316547
play,play,0.014388489208633094
visibl,visibl,0.007194244604316547
tile,tile,0.014388489208633094
luckili,luckili,0.007194244604316547
dev,dev,0.007194244604316547
happi,happi,0.007194244604316547
storm,storm,0.014388489208633094
kind,kind,0.007194244604316547
tornado,tornado,0.007194244604316547
reeeeeeeeeeeeeeeeeeee,reeeeeeeeeeeeeeeeeeee,0.007194244604316547
turn,turn,0.007194244604316547
plain,plain,0.014388489208633094
grassland,grassland,0.014388489208633094
ad,ad,0.007194244604316547
meter,meter,0.007194244604316547
permafrost,permafrost,0.007194244604316547
robot,robot,0.007194244604316547
bonus,bonus,0.007194244604316547
impact,impact,0.007194244604316547
definit,definit,0.007194244604316547
interest,interest,0.02877697841726619
howev,howev,0.007194244604316547
big,big,0.014388489208633094
sad,sad,0.007194244604316547
implement,implement,0.007194244604316547
mass,mass,0.007194244604316547
wait,wait,0.014388489208633094
mod,mod,0.007194244604316547
x,x,0.007194244604316547
ynaemp,ynaemp,0.007194244604316547
drought,drought,0.007194244604316547
imagin,imagin,0.007194244604316547
frequent,frequent,0.007194244604316547
that�,that�,0.02158273381294964
probabl,probabl,0.007194244604316547
close,close,0.007194244604316547
we�ll,we�ll,0.007194244604316547
desert,desert,0.007194244604316547
level,level,0.014388489208633094
7,7,0.007194244604316547
gs,gs,0.007194244604316547
can�t,can�t,0.007194244604316547
lose,lose,0.007194244604316547
citi,citi,0.014388489208633094
what�,what�,0.007194244604316547
venic,venic,0.007194244604316547
bangkok,bangkok,0.007194244604316547
option,option,0.007194244604316547
fun,fun,0.014388489208633094
higher,higher,0.007194244604316547
reflect,reflect,0.007194244604316547
today,today,0.014388489208633094
ration,ration,0.007194244604316547
decis,decis,0.007194244604316547
accept,accept,0.007194244604316547
it�,it�,0.014388489208633094
hard,hard,0.007194244604316547
avoid,avoid,0.007194244604316547
civ,civ,0.007194244604316547
esp,esp,0.007194244604316547
leader,leader,0.007194244604316547
flood,flood,0.007194244604316547
short,short,0.007194244604316547
entir,entir,0.007194244604316547
utilitarian,utilitarian,0.007194244604316547
i�v,i�v,0.007194244604316547
lie,lie,0.007194244604316547
career,career,0.007194244604316547
sell,sell,0.007194244604316547
affair,affair,0.007194244604316547
conscious,conscious,0.007194244604316547
anybodi,anybodi,0.007194244604316547
support,support,0.007194244604316547
shouldn�t,shouldn�t,0.007194244604316547
draw,draw,0.007194244604316547
maddi,maddi,0.007194244604316547
hoax,hoax,0.014388489208633094
creat,creat,0.007194244604316547
aren�t,aren�t,0.007194244604316547
isn�t,isn�t,0.007194244604316547
spider,spider,0.007194244604316547
senat,senat,0.007194244604316547
8,8,0.007194244604316547
regard,regard,0.007194244604316547
clear,clear,0.007194244604316547
feel,feel,0.007194244604316547
legisl,legisl,0.014388489208633094
activ,activ,0.007194244604316547
dismantl,dismantl,0.007194244604316547
effort,effort,0.007194244604316547
combat,combat,0.007194244604316547
donor,donor,0.007194244604316547
societi,societi,0.007194244604316547
realist,realist,0.014388489208633094
fair,fair,0.014388489208633094
everyon,everyon,0.007194244604316547
board,board,0.007194244604316547
ever,ever,0.007194244604316547
don�t,don�t,0.02158273381294964
11,11,0.007194244604316547
snl,snl,0.007194244604316547
put,put,0.007194244604316547
kid,kid,0.007194244604316547
cage,cage,0.007194244604316547
nuclear,nuclear,0.007194244604316547
trident,trident,0.007194244604316547
obama,obama,0.007194244604316547
didn�t,didn�t,0.007194244604316547
attempt,attempt,0.007194244604316547
pass,pass,0.007194244604316547
huh,huh,0.007194244604316547
languag,languag,0.007194244604316547
�climat,�climat,0.007194244604316547
littl,littl,0.007194244604316547
never,never,0.02158273381294964
we�v,we�v,0.007194244604316547
learn,learn,0.007194244604316547
delic,delic,0.007194244604316547
thought,thought,0.007194244604316547
car,car,0.007194244604316547
road,road,0.007194244604316547
look,look,0.014388489208633094
minor,minor,0.007194244604316547
part,part,0.007194244604316547
ok,ok,0.007194244604316547
engin,engin,0.007194244604316547
wrong,wrong,0.007194244604316547
expert,expert,0.007194244604316547
rapid,rapid,0.007194244604316547
geolog,geolog,0.014388489208633094
chemistri,chemistri,0.007194244604316547
physic,physic,0.007194244604316547
process,process,0.014388489208633094
i�m,i�m,0.007194244604316547
good,good,0.007194244604316547
behind,behind,0.007194244604316547
influenc,influenc,0.007194244604316547
here�,here�,0.007194244604316547
link,link,0.007194244604316547
97,97,0.007194244604316547
cent,cent,0.007194244604316547
among,among,0.007194244604316547
mani,mani,0.007194244604316547
�,�,0.007194244604316547
�what,�what,0.007194244604316547
event,event,0.007194244604316547
hack,hack,0.007194244604316547
email,email,0.007194244604316547
univers,univers,0.007194244604316547
east,east,0.007194244604316547
anglia,anglia,0.007194244604316547
research,research,0.007194244604316547
stapl,stapl,0.007194244604316547
crop,crop,0.007194244604316547
district,district,0.007194244604316547
ignor,ignor,0.007194244604316547
complet,complet,0.007194244604316547
lol,lol,0.014388489208633094
unwind,unwind,0.007194244604316547
multipl,multipl,0.007194244604316547
devast,devast,0.007194244604316547
un,un,0.007194244604316547
consequ,consequ,0.007194244604316547
fight,fight,0.007194244604316547
choic,choic,0.007194244604316547
secret,secret,0.007194244604316547
